f1,"'f1',",,"f1','one','formula','formula1','formulaon',"
one,"'one',",,
formula,"'formula',",,
formula1,"'formula1',",,
formulaon,"'formulaon',",,
,,,
lewi,"'lewi',",,"lewi','hamilton','sir','merc','lewishamilton','sirlewishamilton','teamlh','😂😂😂😂lewi','lewis😰','lewis…','lewis.','sirlewi','lewishamilton44','pro-lewi','lewis🤣your','😃lewi','lewis💜th',"
hamilton,"'hamilton',",,
sir,"'sir',",,
merc,"'merc',",,
lewishamilton,"'lewishamilton',",,
sirlewishamilton,"'sirlewishamilton',",,
teamlh,"'teamlh',",,
😂😂😂😂lewi,"'😂😂😂😂lewi',",,
lewis😰,"'lewis😰',",,
lewis…,"'lewis…',",,
lewis.,"'lewis.',",,
sirlewi,"'sirlewi',",,
lewishamilton44,"'lewishamilton44',",,
pro-lewi,"'pro-lewi',",,
lewis🤣your,"'lewis🤣your',",,
😃lewi,"'😃lewi',",,
lewis💜th,"'lewis💜th',",,
,,,
max,"'max',",,"'max','verstappen','maxverstappen','verstapen','verstap','maxverstappen33','/verstappen','max1verstappen','verstaapan','max33verstappen','verstanpen',"
verstappen,"'verstappen',",,
maxverstappen,"'maxverstappen',",,
verstapen,"'verstapen',",,
verstap,"'verstap',",,
maxverstappen33,"'maxverstappen33',",,
/verstappen,"'/verstappen',",,
max1verstappen,"'max1verstappen',",,
verstaapan,"'verstaapan',",,
max33verstappen,"'max33verstappen',",,
verstanpen,"'verstanpen',",,
,,,
masi,"'masi',",,"'masi','michael','massi',"
michael,"'michael',",,
massi,"'massi',",,
,,,
rob,"'rob',",,"'rob','lewishamiltonwasrob','champwasrob','robbed！','lewiswasrob','lewisrob','robbed🤷🏾‍♂️🐒',"
lewishamiltonwasrob,"'lewishamiltonwasrob',",,
champwasrob,"'champwasrob',",,
robbed！,"'robbed！',",,
lewiswasrob,"'lewiswasrob',",,
lewisrob,"'lewisrob',",,
robbed🤷🏾‍♂️🐒,"'robbed🤷🏾‍♂️🐒',",,
,,,
istandwithlewishamilton,"'istandwithlewishamilton',",,"'istandwithlewishamilton','istandwithlewi','istandwithsirlewishamilton','standwithlewi','standwithlewishamilton','istandwithlewishamilt','westandwithlewi','istandwithmercedesamgf1',"
istandwithlewi,"'istandwithlewi',",,
istandwithsirlewishamilton,"'istandwithsirlewishamilton',",,
standwithlewi,"'standwithlewi',",,
standwithlewishamilton,"'standwithlewishamilton',",,
istandwithlewishamilt,"'istandwithlewishamilt',",,
westandwithlewi,"'westandwithlewi',",,
istandwithmercedesamgf1,"'istandwithmercedesamgf1',",,
,,,
corrupt,"'corrupt',",,"'corrupt','corruptfia','fiacorrupt','corruptly…','f1corrupt','corr-ption',"
corruptfia,"'corruptfia',",,
fiacorrupt,"'fiacorrupt',",,
corruptly…,"'corruptly…',",,
f1corrupt,"'f1corrupt',",,
corr-ption,"'corr-ption',",,
,,,
f1xed,"'f1xed',",,"'f1xed','fix','fiaprizefixing2021','fixat','f1xedpriz','fixed1','race-fix',"
fix,"'fix',",,
fiaprizefixing2021,"'fiaprizefixing2021',",,
fixat,"'fixat',",,
f1xedpriz,"'f1xedpriz',",,
fixed1,"'fixed1',",,
race-fix,"'race-fix',",,
,,,
injustic,"'injustic',",,"'injustic','unfair','unfairli','.unfair.unccept',"
unfair,"'unfair',",,
unfairli,"'unfairli',",,
.unfair.unccept,"'.unfair.unccept',",,
,,,
justiceforlewi,"'justiceforlewi',",,"'justiceforlewi','justic','justiceforlewishamilton','justice…','socialjustic',''justic',"
justic,"'justic',",,
justiceforlewishamilton,"'justiceforlewishamilton',",,
justice…,"'justice…',",,
socialjustic,"'socialjustic',",,
'justic,"''justic',",,
