1,variable,value,
safety_car,last_lap,0.062940581,
race_director,safety_car,0.074849211,
maxverstappen_old,red_bull,0.152005508,
safety_car,lapped_car,0.189573496,
maxverstappen_win,next_year,0.264192719,
f1_not,red_bull,0.264528761,
world_champion,red_bull,0.270439021,
red_flag,behind_safety,0.317309266,
maxverstappen_not,not_get,0.318953511,
car_allowed,safety_car,0.34890325,
old_tire,new_tire,0.374479834,
give_maxverstappen,safety_car,0.376644512,
mercedes_fan,red_bull,0.431783334,
maxverstappen_not,safety_car,0.490536934,
maxverstappen_win,red_bull,0.528563296,
safety_car,maxverstappen_lewishamilton,0.542193638,
safety_car,f1_fia,0.544861819,
maxverstappen_fan,lewishamilton_fan,0.556458928,
old_tire,red_bull,0.620661039,
car_maxverstappen,safety_car,0.682476825,
behind_safety,safety_car,0.7101015,
red_flag,safety_car,0.740262228,
lewishamilton_pitted,safety_car,0.755928946,
lewishamilton_fan,lapped_car,0.819998257,
maxverstappen_win,last_lap,0.852540689,
next_year,red_bull,0.882497503,
world_champion,2021_f1,0.89186107,
track_position,safety_car,0.901060071,
safety_car,end_race,0.907099546,
car_finish,safety_car,0.910371111,
pit_lewishamilton,red_bull,0.930808684,
lapped_car,let_car,0.932546898,
one_lap,safety_car,0.933256525,
world_champion,f1_world,0.944528686,
f1_race,race_director,0.946255523,
race_director,next_year,0.953820966,
new_tire,red_bull,0.959450578,
2021_f1,maxverstappen_lewishamilton,0.968300631,
race_director,last_lap,0.970725343,
